dt,carry_lb7,carry_lb14,carry_lb30
2020-06,0.002671463450899525,0.002671463450899525,0.002671463450899525
2020-07,0.010125207036447703,0.010125207036447703,0.010125207036447703
2020-08,0.014900651697431933,0.014900651697431933,0.014900651697431933
2020-09,0.002295481743921801,0.004359987990298464,0.004359987990298464
2020-10,0.0030203679182836396,0.003321088817407336,0.003321088817407336
2020-11,0.008296521776006482,0.01603816255246615,0.01603816255246615
2020-12,0.01606501202116073,0.025013864405082575,0.025013864405082575
2021-01,0.06588865081882123,0.10321521642396125,0.10321521642396125
2021-02,0.10019035945518784,0.15142657223637945,0.15142657223637945
2021-03,0.04712487152129041,0.06779740223127462,0.06779740223127462
2021-04,0.070172651862493,0.09972856925120466,0.09972856925120466
2021-05,0.028813154782799888,0.04044210265481518,0.04044210265481518
2021-06,0.001576677011540184,0.0003672314177975977,0.0032056983724564336
2021-07,-0.003864600416029984,-0.003406407596892147,-0.001989359315242134
2021-08,0.0047539730578503026,0.004765084949171827,0.00395058464929221
2021-09,0.007393849001680275,0.007691273169391,0.006841090738947786
2021-10,0.013513769610733695,0.014209717977759162,0.012763751282260483
2021-11,0.015986821511781768,0.016632522362916013,0.014841440710685161
2021-12,0.005681131390115057,0.005847675983837286,0.005183959533011873
2022-01,0.002743727680989849,0.0028074113082308116,0.0024783886935797472
2022-02,-0.002765963632914814,0.0009909680451414271,0.0009098601443355836
2022-03,0.00018242048105809872,0.0026568469854226784,0.002391768017513396
2022-04,-0.0012668713076274818,0.0004619486837442732,0.0012999181840058771
2022-05,-0.0007205021856119265,0.000829454811288155,0.0014556323053425135
2022-06,3.1439094158480785e-05,0.001144964178738439,0.0008603177910888604
2022-07,0.002861054816965858,0.0015569316399506317,0.0013007228947718996
2022-08,0.00048277951738451286,0.00015067338677487996,0.00046785387294212555
2022-09,0.0007134207845163054,0.0006026348102694534,0.0008039381100157783
2022-10,0.0025251138867812273,0.0025458980625883143,0.0010833282382267662
2022-11,-0.0020035237685536167,-0.002169687712073931,-0.0006462998732600367
2022-12,0.0020053727207818284,0.002055648278779243,0.0006924007163287005
2023-01,0.004952015344960037,0.005056280918920741,0.0048042268727301884
2023-02,0.005086087853602317,0.005208940211541613,0.004934439085631626
2023-03,0.0038666793055550652,0.003946884860334787,0.0037524109688995555
2023-04,0.0038794730758469065,0.0039705772811684525,0.003764862307307437
2023-05,0.004165823524878709,0.004270032473955521,0.004042971851855981
2023-06,0.005045975046605644,0.005158138352274966,0.0048982521947709134
2023-07,0.004971910300587634,0.005092371657384076,0.004826687730565382
2023-08,0.0019273957904244465,0.0047371817381201,0.00448630414998008
2023-09,-0.0015611690002608203,0.0006957997171437302,0.0006625725875117894
2023-10,-0.000458598562516066,0.0027009459548397174,0.002580549227962692
2023-11,0.006510264023962042,0.01151407972324181,0.010934185645340211
2023-12,0.011302658672632138,0.019891945989371607,0.018899068678886355
2024-01,0.008752713603531692,0.015277977944964993,0.014522276024300007
2024-02,0.009571664301204708,0.016580898605251138,0.015812355933972455
2024-03,0.033992509230663215,0.05853725695001799,0.05574470755069294
2024-04,0.010583419137220496,0.017816297570787176,0.016982932359699054
2024-05,0.00552818488121587,0.009228116674826259,0.008828667627587494
2024-06,0.009371802832082388,0.015602551566080036,0.014900309300227121
2024-07,0.005848985843930121,0.009673326634121793,0.00925385698706549
2024-08,-0.0014865290735752712,-0.0007188174407579684,0.0020198225868472974
2024-09,-0.0010922390201046905,-0.0023692764739282612,-0.002615813212698548
2024-10,0.003262191535181813,0.0031788062641440185,0.003204187670500458
2024-11,0.00881990710849112,0.008592449246804135,0.00866728947572537
2024-12,0.010276959377547135,0.010026724489454963,0.010083609985220399
2025-01,0.005908529954735897,0.005762202986394405,0.005803761600547297
2025-02,0.002965463212470265,0.0029007455638043744,0.0029018994934537634
2025-03,0.0010600353847138866,0.0010352494474752394,0.0010397158436812326
2025-04,4.0277261258658825e-05,0.001424237339728407,0.0014426057478589271
2025-05,0.0012044409766589492,-0.0005155570897477091,0.0034936501430913314
2025-06,0.001270648998436652,0.001249542357194322,0.0020060552912328777
2025-07,0.0041483799697927815,0.004079677480767208,0.006544420138933749
2025-08,0.0032363979734217896,0.003176628988631247,0.005098179619367427
2025-09,0.0024693942786830902,0.0024290921290037737,0.003879000313463443
2025-10,-0.00019585565972080055,-0.0006681666149127574,0.0026837410356237434
2025-11,0.0019683781362043185,0.0019234031267587604,0.0032760549947696838
2025-12,0.0017016797203139866,0.001651793732596607,0.002830650311402838
2026-01,0.0018454057670198587,0.001796118591279594,0.0030653532881650403
2026-02,-0.0015105280546697797,-0.001769859304449617,-0.0011682068415626023
2026-03,-0.004713643132943979,-0.0009188791822132281,0.0
2026-04,-0.002087145550570102,-0.002264379727384469,0.0
2026-05,0.00021639369417392196,4.377977059411009e-05,-0.00031810615553840016
2026-06,-0.0008122295616649344,0.0008728829214299516,0.0008810105133640889
2026-07,0.002854867362575453,0.0023424568913807953,0.0023879769600643197
2026-08,0.0033718985203776697,0.0027595795858228467,0.00281872434356778
2026-09,0.002417824971513216,0.0019830717470570303,0.002023392605255525
